番号	名称	HP	SAN	速度	斬撃	貫通	打撃	弾丸	パッシブ名	発動条件	常時発動	効果	戦術0名称	戦術0効果	戦術0強化スキル名称	戦術0強化スキル効果	戦術1名称	戦術1効果	戦術1強化スキル名称	戦術1強化スキル効果	戦術2名称	戦術2効果	戦術2強化スキル名称	戦術2強化スキル効果	戦術3名称	戦術3効果	戦術3強化スキル名称	戦術3強化スキル効果	戦術4名称	戦術4効果	戦術4強化スキル名称	戦術4強化スキル効果	固有
11	ラ・マンチャランド 神父の人格	188	49	1d6	普通	弱点	抵抗	なし	終油の秘跡/血に染まった手	色欲x5 保有	なし	R 終了時に出血ダメージを受ける。<br>自分を除くHP が最も低い味方のHP を15 回復	色褪せた忍耐	防御：色欲<br>使用時：味方全員のSAN を10 回復。自分のHP が最大値の50％以下なら血餐を最大20 消費し、消費した血餐だけ自分のHP を回復<br>5d5	なし	なし	当然の罰を…	打撃：憂鬱<br>使用時：出血2 を得る<br>マッチ敗北時：次のR に出血5 を得る<br>2d10：的中時、次のR に出血3 を付与<br>2d10：的中時、[破裂爆発]。破裂を3 消費	なし	なし	家族のための献身	打撃：暴食<br>対象の出血が6 以上ならスキル威力+2<br>使用時：出血4 を得る。血餐を最大50 まで消費し、消費した血餐10 ごとに血に染まった手1 を得る<br>攻撃後：血に染まった手3 を得る<br>3d7：的中時、次のR に出血2 を付与<br>3d7：的中時、次のR に出血2 を付与	なし	なし	締め付けてくる罪悪感	打撃：傲慢<br>対象の出血が6 以上ならスキル威力+2<br>使用時：出血5 を得る。血餐を最大30 まで消費し、HP が最も低い味方のHP を消費した血餐の数だけ回復<br>6d3：的中時、破裂3 を付与<br>6d3：的中時、血に染まった手2 を得る	なし	なし	雪げぬ罪	打撃：色欲<br>対象の出血が6 以上ならスキルd 数+1<br>攻撃前：出血3 を得る<br>使用時：血に染まった手が10 以上なら、血に染まった手を最大20まで消費して下記の効果を得る<br>-消費した数値x3 だけ自分のHP を回復<br>-消費した数値が10 以上なら、スキル威力+2<br>消費した数値が20 以上なら、最後のダイスを1 回再使用<br>攻撃後：自分のHP を10 回復<br>2d9：的中時、次のR に出血2 と破裂2 を付与<br>2d9：的中時、次のR に出血2 と破裂2 を付与<br>2d10：的中時、[破裂爆発]。破裂を4 消費	[血に染まった手]<br>最大10<br>バフ<br>-血に染まった手Ⅰ-<br>特殊スキルに使用される<br>数値が10 以上なら攻撃的中時、破裂1 を付与<br>[ラ・マンチャランド 神父の人格専用効果]<br>最大値が30 になる。血に染まった手が10 以上なら、血に染まった手Ⅱに変換される。 20 以上なら、血に染まった手Ⅲに変換される。<br>-血に染まった手Ⅱ-<br>R 開始時、ダメージ量増加1、HP 回復量増加3 を得る<br>攻撃的中時に破裂1 を付与<br>特殊スキルに使用される<br>-血に染まった手Ⅲ-<br>R 開始時、ダメージ量増加1、HP 回復量増加3 を得る<br>攻撃的中時に破裂1 と出血1 を付与<br>特殊スキルに使用される		
12	ラ・マンチャランド 姫の人格	160	55	1d8	弱点	抵抗	普通	なし	硬血の棘	色欲x3 嫉妬x2 保有	なし	自分を除く味方が出血ダメージを受けるか血餐を消費するごとに、咲き出す棘1 を得る（1R に3 回）<br>自分が基本スキルで与えたダメージ量の20%だけ自分のHP を回復（ダイスごとに最大10）	ドンキホーテ流硬血15 式日傘	マッチ可能貫通反撃：色欲<br>使用時：自分を除く、最も出血の数が多い味方1 名の出血を5 減少<br>マッチ勝利時：咲き出す棘4 を得る<br>2d9：的中時、次のR に出血2 を付与<br>2d9	なし	なし	歩みは優雅に…	貫通：憤怒<br>[味方指定可能]<br>対象が味方ならマッチ威力が10 増加しダメージ量が0 に固定<br>2d10：的中時、出血3 とダメージ量増加2 を付与		なし	身振りは美しく…	貫通：傲慢<br>戦闘開始時：血餐を最大20 消費し、自分と最大HP が最も高い味方1 名に、血餐10 ごとに咲き出す棘1 を付与（血鬼人格優先）<br>付与した味方が血鬼人格なら咲き出す棘を追加で1 付与<br>血餐が消費できない場合、出血3 を得る<br>使用時：対象の出血が6 以上ならスキル威力+1<br>2d9<br>2d9：的中時、次のR に出血1 と破裂1 を付与	なし	なし	撒き散らし、磨り潰されよ	貫通：嫉妬<br>戦闘開始時：自分と最大HP が最も高い味方1 名にパワー1 を付与<br>さらに血餐を最大30 消費し、血餐10 ごとに咲き出す棘1を付与（血鬼人格優先）<br>付与した味方が血鬼人格なら咲き出す棘を追加で2 付与<br>血餐が消費できない場合、出血5 を得る<br>8d2<br>8d2：的中時、次のR に出血2 と破裂1 を付与<br>1d9+9：的中時、[破裂爆発]。破裂を3 消費	なし	なし	幻想的なパレード	貫通：色欲<br>攻撃前：自分の咲き出す棘が3 段階かつ5 以上ならスキル威力+3、広域指定人数+2<br>使用時：自分の累計消費血餐10 ごとにダメージ量+1（最大10）<br>攻撃後：自分の咲き出す棘を全て消費<br>2d11：的中時、破裂3 と出血2 を付与<br>2d11：的中時、破裂3 と出血2 を付与<br>4d4：的中時、[破裂爆発]。破裂を3 消費	なし	なし	[咲き出す棘]<br>最大10<br>バフ<br>-咲き出す棘Ⅰ-<br>数値5ごとに保護1 を得る<br>被ダメージ時、攻撃者へ出血1を付与してから数値1減少<br>[ラ・マンチャランド 姫の人格専用効果]<br>最大値が30 になり、数値が10 以上なら咲き出す棘Ⅱ、数値が20 以上なら咲き出す棘Ⅲになる<br>-咲き出す棘Ⅱ-<br>数値5ごとに保護1を得る（最大3）<br>被ダメージ時、攻撃者へ出血1を付与してから数値1減少<br>スキルの出血付与量と破裂付与量+1<br>咲き出す棘Ⅱが消費され10以下になると前の段階に戻る<br>特殊スキルに使用される<br>-咲き出す棘Ⅲ-<br>数値5ごとに保護1を得る（最大5）<br>被ダメージ時、攻撃者へ出血1を付与してから数値1減少<br>破裂爆発で与えるダメージ量+5<br>スキルの出血付与量と破裂付与量+1<br>咲き出す棘Ⅲが消費され20以下になると前の段階に戻る<br>特殊スキルに使用される
13	ジア家家主候補の人格	150	57	4d2	普通	弱点	抵抗	なし	破傷吸還	暴食x5 保有	なし	自分の攻撃スキルで敵討伐時、対象の破裂の数だけ呼吸を得る。マッチ進行時、対象の破裂の数より自分の呼吸の数の方が大きいなら、マッチ威力+1。対象の破裂の数が5 以下なら破裂爆発で破裂を消費しない	秀回	回避：憂鬱<br>使用時：呼吸2 を得る<br>8d2：回避成功時、呼吸2 を得る	なし	なし	赤撃	打撃：憂鬱<br>対象のデバフの種類が5 種類以上ならマッチ威力+1<br>使用時：対象の破裂3 ごとにスキル威力+1（最大2）<br>マッチ勝利時：呼吸4 を得る<br>6d2：的中時、破裂1 を付与<br>6d2+2：的中時、破裂4 を付与。クリティカル的中時、次のR にダメージ量増加1 を得る	なし	なし	芭蕉丸丹	打撃：嫉妬<br>対象のデバフの種類が5 種類以上ならマッチ威力+1<br>使用時：対象の破裂3 ごとに呼吸1 を得る（最大10）<br>敵討伐時：次のR にダメージ量増加2 を得る<br>3d6：的中時、破裂2 を付与<br>3d6：的中時、破裂2 を付与<br>2d11：クリティカル的中時、対象の破裂5 ごとに脆弱1 を付与（最大3）	なし	なし	赤鳳	打撃：暴食<br>対象のデバフの種類が5 種類以上ならスキル威力+3<br>使用時：対象の破裂が4 以上ならスキル威力+2<br>1d22：的中時、破裂2 を付与。クリティカル的中時、脆弱1 を付与<br>1d25：的中時、破裂2 を付与。クリティカル的中時、脆弱1 を付与<br>1d25：的中時、対象の破裂の数だけ呼吸を得る（最大5）<br>1d28：的中時、[破裂爆発]。破裂を5 消費。クリティカルダメージ量+5	なし	なし	赤春	斬撃：嫉妬<br>対象のデバフの種類が5 種類以上なら広域指定人数+2<br>使用時：メインターゲットのデバフが5 種類以上ならスキル威力+5<br>マッチ勝利時：破裂5 を付与<br>9d2：的中時、[破裂爆発]。破裂を5 消費。クリティカルダメージ量+10。クリティカル討伐時、ランダムな敵2 名に破裂3 付与	なし	なし	
14	東部親指カポ IIII の人格	166	50	1d6	普通	普通	普通	6	天退星刀	憤怒x3 保有	舞台開始時、自分の弾丸を虎標弾へと[弾倉変換]。戦術4-1 または戦術4-2 を使うたびにこの戦闘中マッチ威力減少2 と脆弱1 を永続的に得る	弾丸を戦闘中に10 以上消費したなら、[再装填]し自分の弾丸を猛虎標弾へと[弾倉変換]し剛気1 を得る	天退星刀 装填	マッチ可能斬撃反撃：憂鬱<br>攻撃後：[再装填]。自分の弾丸が猛虎標弾なら、かわりに[再装填-残弾維持]（戦闘中3 回のみ発動）<br>2d6：的中時、振動2 を付与<br>2d7：的中時、弾丸を1 消費。火傷3 を付与	なし	なし	二連斬	斬撃：傲慢<br>対象の火傷と振動の合計4 ごとにスキル威力+1（最大2）自分の弾丸が猛虎標弾なら二連斬-【爆】に変更<br>2d8：的中時、振動2 を付与<br>2d8：的中時、振動3 を付与	二連斬-【爆】	斬撃：傲慢<br>対象の火傷と振動の合計4 ごとにスキル威力+1（最大4）マッチ敗北時：弾丸を1 減少<br>2d8：的中時、振動2 を付与<br>2d8：破壊不能ダイス。的中時、弾丸を1 消費し振動5 と火傷3 を付与	三連撃	斬撃：嫉妬<br>対象の火傷と振動の合計4 ごとにスキル威力+1（最大2）自分の弾丸が猛虎標弾なら三連撃-【爆】に変更<br>2d9：的中時、振動2 を付与<br>2d9：的中時、振動2 を付与<br>4d3+2：的中時、[振動爆発]。振動を1 消費	三連撃-【爆】	斬撃：嫉妬<br>対象の火傷と振動の合計4 ごとにスキル威力+1（最大4）<br>マッチ敗北時：弾丸を1 減少<br>2d9：的中時、振動2 を付与<br>2d9：的中時、弾丸を1 消費し振動2 と火傷2 を付与<br>4d3+2：破壊不能ダイス。的中時、弾丸を1 消費し火傷4 を付与。破壊されずに的中時、[振動爆発] を2 回発動し、振動を5 消費	爆砕斬	斬撃：暴食<br>対象の火傷と振動の合計6 ごとにスキル威力+1（最大3）<br>マッチ敗北時：SAN を15 減少<br>3d5+1：破壊不能ダイス。的中時、弾丸を1 消費し火傷3 と振動3を付与<br>3d5+1：破壊不能ダイス。的中時、弾丸を1 消費し火傷3 と振動3を付与。破壊されずに的中時、振動-灼熱へと[振幅変換]<br>3d5+1：破壊不能ダイス。的中時、弾丸を1 消費し火傷3 を付与。破壊されずに的中時、[振動爆発]を2 回発動し、振動を3 消費	なし	なし	快刀亂麻	斬撃：憤怒<br>自分の弾丸が猛虎標弾なら超絶猛虎殺撃乱斬に変更<br>攻撃後：[再装填]（戦闘中1 回のみ発動）<br>10d2：破壊不能ダイス。的中時、弾丸を全て消費。的中時、消費した弾丸の数だけ火傷を付与。破壊されずに的中時、[振動爆発]を3回発動し、振動を5 消費	超絶猛虎殺撃乱斬	斬撃：憤怒<br>使用時：メインターゲットの火傷と振動の合計10 ごとに広域指定人数+1（最大2）<br>攻撃後：[再装填-残弾維持]（戦闘中1 回のみ発動）<br>マッチ敗北時：弾丸を3 減少<br>4d4：破壊不能ダイス。弾丸を1 消費。このダイスで弾丸を消費したなら、的中時、火傷4 を付与<br>4d4：破壊不能ダイス。弾丸を1 消費。このダイスで弾丸を消費したなら、的中時、火傷4 を付与<br>4d5：破壊不能ダイス。弾丸を1 消費。このダイスで弾丸を消費したなら、的中時、振動4 を付与<br>4d5：破壊不能ダイス。弾丸を1 消費。このダイスで弾丸を消費したなら、的中時、振動6 を付与<br>4d5：破壊不能ダイス。弾丸を1 消費。破壊されずに的中時、振動-灼熱へ[振幅変換]<br>4d6：破壊不能ダイス。弾丸を1 消費。破壊されずに的中時、[振動爆発]を4 回発動し、対象の振動と火傷を除去	[弾丸-虎標弾]<br>-弾丸を消費するダイスのダメージ量+2。火傷付与量と振動付与量+1<br>消費することで特定戦術の能力が向上<br>[弾丸-猛虎標弾]<br>-弾丸を消費するダイスのダメージ量+3。火傷付与量と振動付与量+2。自分の速度が対象より早ければ振動爆発ダメージ量+5<br>-消費することで特定戦術の能力が向上<br>[剛気]<br>最大1<br>バフ<br>速度が1d8 に変更<br>自分の速度が対象より2 以上早ければマッチ威力+1<br>今回の戦闘の間、自分が消費した弾丸が30 以上なら剛気-心に変更<br>[剛気-心]<br>最大1<br>バフ<br>速度が4d2 に変更<br>自分の速度が対象より2 以上早ければマッチ威力+2
15	黒雲会副組長の人格	149	50	1d7+1	抵抗	弱点	普通	なし	墨雲	色欲x3 共鳴	なし	マッチ勝利時、次のR に出血3 を付与<br>自分を除く黒雲会所属の味方の戦術1 にダメージ量減少付与効果が存在しなければ、その1 ダイス目に「的中時、ダメージ量減少1 を付与」を追加	後始末	斬撃反撃：色欲<br>2d10：的中時、次のR に斬撃脆弱2 を付与	なし	なし	乱れ散る雲	斬撃：色欲<br>使用時：対象の出血が5 以上なら対象の受ける出血ダメージ量+2<br>2d9：的中時、次のR に出血2 を付与<br>2d9：的中時、次のR にダメージ量減少1 を付与	なし	なし	裏路地の掟	斬撃反撃：嫉妬<br>使用時：自分を除く生存している黒雲会所属の味方1 名ごとに最初のダイスを再使用（最大3）<br>2d8：的中時、次のR に出血2 を付与<br>敵討伐時、全ての味方のSAN を20 回復	なし	なし	鋭い刃	斬撃：憤怒<br>戦闘開始時：斬撃スキルを持つ味方全員に斬撃ダメージ量増加2を付与<br>4d4+2<br>5d4+2：的中時、次のR にダメージ量減少2 を付与	なし	なし	墨塗り	斬撃：傲慢<br>戦闘開始時：メインターゲットの出血の数が10 以上なら広域指定人数+1<br>マッチ勝利時：対象の出血の数が7 以上ならダメージ量+3<br>5d3：マッチ勝利的中時、次のR に出血2を付与<br>5d3：マッチ勝利的中時、次のR に出血3を付与<br>8d2+4：的中時、対象のダメージ量減少の数が5 以上なら次のRに出血10 を付与	なし	なし	なし
16	剣契頭目の人格	159	55	2d3+1	抵抗	普通	弱点	なし	本国剣術	傲慢x3 共鳴	斬撃スキル威力+2	スキル効果で呼吸を得る時、呼吸の保有数が最も少ない味方1 名に呼吸2 を付与、剣契所属なら代わりに4付与<br>戦闘に参加した剣契が6 名以上なら代わりに全ての味方が呼吸4 を得る<br>戦闘開始時、剣契所属の全ての味方に本国剣術1 を付与	殺主	斬撃反撃：嫉妬<br>使用時：次のR に斬撃威力増加1 を得る<br>1d8+10	なし	なし	抜剣	斬撃：傲慢<br>自分の呼吸の数が6 以上ならスキル威力+1<br>使用時：呼吸4 を得る<br>2d9：的中時、呼吸2 を得る<br>2d9：的中時、呼吸2 を得る	なし	なし	切動	斬撃：傲慢<br>自分の呼吸の数が7 以上ならスキル威力+1<br>戦闘開始時：自分を除く味方全員の斬撃スキル威力+1<br>2d8：的中時、呼吸3 を得る<br>1d17：クリティカルダメージ量+6	なし	なし	刺法	斬撃：傲慢<br>自分の呼吸の数が7 以上ならスキル威力+1<br>使用時：呼吸4 を得る<br>マッチ勝利時：次のR に斬撃威力1 を得る<br>2d10：的中時、次のR に脆弱2 を付与<br>7d2+2：クリティカルダメージ量+8	なし	なし	肉斬	斬撃：憤怒<br>マッチ勝利時：呼吸5 を得る<br>マッチ敗北時：対象の攻撃終了後、骨断を使用する<br>21-1d20：クリティカルダメージ量+10	骨断	斬撃：傲慢<br>使用時：自分の失ったHP10 ごとにダメージ量+1（最大10）<br>27-1d24<br>29-1d27<br>34-1d33<br>40-1d38：的中時、自分の呼吸の数だけ固定ダメージを与える。クリティカルダメージ量+10	[本国剣術]<br>最大1<br>バフ<br>斬撃威力1 増加。クリティカルダメージ量+2<br>R 終了時消滅
17	○○のミートパイ厨房長の人格	140	59	1d6+1	抵抗	弱点	普通	なし	即席料理	色欲x5 保有	なし	敵討伐時、HP が最も低い味方のHP を15 回復（1R に1 回）<br>渇きがある場合は全て消費し、消費した渇きの数x2 だけHP を追加で回復（最大20）	新鮮な材料発見	回避：色欲<br>9d2：回避成功時、次のR にクイック1 を得る	なし	なし	料理の支度	斬撃：憤怒<br>2d9：的中時、次のR に出血1 を付与<br>2d10：的中時、渇き2 を得る	なし	なし	残酷に	斬撃：暴食<br>使用時：後方の味方1 名にパワー1、出血付与量増加1、沈潜2 を付与<br>4d3+3<br>2d10：的中時、対象の出血の数だけHP 回復（最大20）	なし	なし	食材狩り	貫通：嫉妬<br>使用時：渇き1 を得る<br>2d9+2：的中時、次のR に束縛1 を付与<br>2d9+2：的中時、次のR に出血3 を付与<br>7d2+3：的中時、対象に出血または麻痺があれば次のR にHP 回復量減少4 を付与	なし	なし	なんでも料理出来るわよ	斬撃：色欲<br>対象の失ったHP10 ごとにダメージ量+1（最大8）<br>2d8+3：的中時、渇きがあるなら最後のダイスのダメージ量+4<br>2d8+3：的中時、渇きがあるなら最後のダイスのダメージ量+2<br>2d8+3：的中時、渇きがあるなら最後のダイスのダメージ量+1<br>2d10	なし	なし	[渇き]<br>最大10<br>バフ<br>対象の出血ダメージをマッチ中に3回発動させたなら数値1増加（1Rに最大3）<br>特定パッシブ発動により全て消費
18	奥歯事務所代表の人格	149	58	2d2+2	抵抗	弱点	普通	なし	武勇伝	怠惰x5 保有	なし	振動爆発時、消費した振動の数だけランダムな味方1名に振動を付与（最大10）	二日酔いの解消	防御：怠惰<br>使用時：自分の振動の数だけバリアを得る<br>8d2<br>8d2	なし	なし	待て！	斬撃：憤怒<br>このスキルが捨てられると振動5 を得る<br>使用時：ランダムなスキルを1 つ捨てる。振動2 を得る。自分の振動の数が6 以上ならスキル威力+2<br>2d10：的中時、自分の振動の数だけSAN を回復（最大10）	なし	なし	マージン	回避：怠惰<br>このスキルが捨てられるとパワー2 と振動4 を得る<br>戦闘開始時：前のR でスキルを捨てたなら次のR にパワー1 を得る<br>7d2：回避成功時、振動2 を付与<br>8d2：回避成功時、振動2 を付与	なし	なし	引き裂く	打撃：色欲<br>このスキルが捨てられるとダメージ量増加2 を得る<br>使用時：ランダムなスキルを1 つ捨てる。後方の味方1 名にダメージ量増加2 を付与<br>3d6：的中時、振動2 を付与<br>3d7：的中時、振動2 を付与<br>3d7：的中時、自分の振動の数が6 以上なら対象に[振動爆発]。振動を1 消費	なし	なし	思い切った判断	打撃：怠惰<br>使用時：1~4 のスキルを全て捨てる。自分の振動が10 以上なら振動を10 消費してスキル威力+2<br>4d4+1：的中時、振動4 を付与<br>4d4+1：的中時、使用時効果で振動を消費したなら振動3 を付与<br>7d3：的中時、[振動爆発]を3 回発動し、振動を3 消費	なし	なし	なし
19	終止符事務所代表の人格	149	58	2d2+2	普通	抵抗	弱点	18	集中	なし	なし	舞台開始時、最初のR のスキル威力+3。弾丸が0 の間、銃撃を撤廃。呼吸が10 以上の時、クリティカル判定が呼吸x5 から呼吸x10 になる	影の向こう	マッチ可能斬撃反撃：傲慢<br>クリティカルダメージ量+2<br>使用時：呼吸4 を得る<br>R 終了時：[再装填]（戦闘中1 度のみ）<br>8d2：的中時、呼吸1 を得る<br>5d2：的中時、呼吸1 を得る	なし	なし	発射	貫通：怠惰<br>使用時：呼吸5 を得る<br>攻撃後：保有弾丸数が0 ならこのスキルを捨てる<br>2d7：銃撃。的中時、弾丸を1 消費<br>2d7：銃撃。的中時、弾丸を1 消費し呼吸3 を得る<br>2d9：銃撃。的中時、弾丸を1 消費し呼吸3 を得る	なし	なし	ターゲット捕捉	貫通：憂鬱<br>使用時：呼吸4 を得る<br>3d6：的中時、呼吸3 を得る<br>4d5：銃撃。的中時、弾丸を任意の数消費（最低1、最大3）。クリティカルダメージ量が消費した弾丸の数x2 だけ増加（最大6）<br>3d6：的中時、次のR に束縛1 と虚弱1 を付与	なし	なし	ヘッドショット	貫通：嫉妬<br>対象の速度が自分より低ければ、対象との速度差2 ごとにクリティカルダメージ量+2（最大6）<br>使用時：呼吸4 を得る。次のR から2R の間クイック1 を得る<br>攻撃後：保有弾丸数が0 ならこのスキルを捨てる<br>29-4d7：銃撃。的中時、弾丸を1 消費し貫通脆弱2 を付与。クリティカル的中時、次のR に貫通脆弱2 を付与	なし	なし	人生の終止符	貫通：傲慢<br>使用時：呼吸8 を得る<br>マッチ勝利時：呼吸2 を得て、呼吸-終止符へと[深吸変換]<br>攻撃後：弾丸が無いならこのスキルを捨てる<br>3d8：銃撃。的中時、弾丸を任意の数消費（最低1、最大3）。クリティカルダメージ量が消費した弾丸の数x2 だけ増加（最大6）。ダメージ量の半分だけSAN を回復（最大10）<br>3d8：銃撃。的中時、弾丸を任意の数消費（最低1、最大3）。クリティカルダメージ量が消費した弾丸の数x2 だけ増加（最大6）。ダメージ量の半分だけSAN を回復（最大10）<br>2d10+3：対象が混乱状態ならクリティカルダメージ量+4。的中時、次のR に束縛1 と貫通脆弱1 を付与	なし	なし	なし
20	夜明事務所代表の人格	160	50	3d2+1	抵抗	普通	弱点	なし	暁の火	憤怒x3 共鳴	なし	火傷状態の敵とのマッチ威力+1<br>火傷状態の敵に攻撃的中時、固定SAN ダメージ4を与える	夜明け	マッチ可能斬撃反撃：憤怒<br>対象の火傷6 ごとにスキル威力+1（最大4）<br>戦闘開始時：火傷が30 以上の敵がいるなら、このスキルのダイスを除去し、戦術4「明け方」のダイスをコピーする<br>7d2：的中時、火傷4 を付与	なし	なし	依頼処理	斬撃：怠惰<br>3d6+2：的中時、火傷2 を付与	なし	なし	黎明の閃光	斬撃：傲慢<br>戦闘開始時：火傷状態の敵1 名ごとにこのスキルで与えるダメージ量+1（最大5）<br>一方攻撃時：火傷脆弱5 を付与<br>2d10：的中時、火傷1 を付与<br>2d14：的中時、火傷1 を付与。対象の火傷が30 以上ならこのダイスを再使用（最大1 回）	なし	なし	茜さす剣	斬撃：嫉妬<br>対象の火傷4 ごとにスキル威力+1（最大3）<br>攻撃後：後方の味方1 名に火傷付与量増加１を付与<br>4d3+1：的中時、火傷2 を付与<br>4d3+1：的中時、火傷2 を付与<br>2d9+2	なし	なし	明け方	斬撃：憤怒<br>対象の火傷4 ごとにスキル威力+1（最大8）<br>使用時：次のR にランダムな味方2 名に保護2 を付与<br>7d3：対象の火傷2 ごとにダメージ量+1（最大20）。的中時、火傷4 を付与	なし	なし	なし
